batter
A Balbirnie
A Gardner
A Sharma
A Symonds
AB de Villiers
AC Voges
AD Hales
AD Mathews
AE Jones
AJ Blackwell
AJ Finch
AJ Healy
AJ Redmond
AK Markram
AM Rahane
AR Patel
Aftab Ahmed
Agha Salman
Ahmed Shehzad
BA King
BA Stokes
BB McCullum
BJ Bennett
BKG Mendis
BL Mooney
BM Duckett
BRM Taylor
Babar Azam
C Campher
C Green
C de Grandhomme
CD McMillan
CH Gayle
CH Morris
CJ Anderson
CJ Chibhabha
CK Kapugedera
CL Tryon
CL White
CM Edwards
CR Ervine
D Ramdin
DA Warner
DAS Gunaratne
DB Sharma
DJ Bravo
DJ Malan
DJ Mitchell
DM de Silva
DN Wyatt
DP Conway
DPMD Jayawardene
DR Martyn
DS Smith
E Chigumbura
EA Perry
EJG Morgan
F du Plessis
Faheem Ashraf
Fakhar Zaman
G Gambhir
GC Smith
GD Phillips
GJ Bailey
GJ Maxwell
H Kaur
H Masakadza
HC Brook
HC Knight
HE van der Dussen
HH Gibbs
HH Pandya
HM Amla
HT Tector
Haris Sohail
IJL Trott
IR Bell
Ishan Kishan
JA Burns
JC Buttler
JD Ryder
JDP Oram
JE Root
JEC Franklin
JG Bethell
JH Kallis
JI Rodrigues
JJ Roy
JL Smith
JM Bairstow
JM Vince
JP Duminy
JP Inglis
Jaker Ali
Junaid Siddique
KC Sangakkara
KD Karthik
KJ O'Brien
KL Rahul
KP Pietersen
KR Mayers
KS Williamson
Kamran Akmal
L Ronchi
L Tucker
L Wolvaardt
LD Chandimal
LMP Simmons
LRPL Taylor
Liton Das
M Jansen
M Kapp
M Raj
MD Gunathilaka
MD Shanaka
MDKJ Perera
ME Bouchier
ME Trescothick
MEK Hussey
MG Bracewell
MJ Clarke
MJ Guptill
MJ Santner
ML Hayden
MM Ali
MM Lanning
MN Samuels
MN Waller
MR Marsh
MS Dhoni
MS Wade
Mahmudullah
Misbah-ul-Haq
Mohammad Ashraful
Mohammad Hafeez
Mohammad Rizwan
Mushfiqur Rahim
N Dickwella
NLTC Perera
NR Sciver
NR Sciver-Brunt
Nasir Hossain
Nazmul Hossain Shanto
OA Shah
P Litchfield
P Nissanka
PD Collingwood
PG Raut
PHKD Mendis
PJ Moor
PR Stirling
PWH de Silva
Q de Kock
R Mutumbami
R Ravindra
RD Rickelton
RG Sharma
RL Chase
RL Haynes
RM Ghosh
RR Pant
RR Sarwan
RS Bopara
RT Ponting
S Dhawan
S Luus
S Mandhana
S Samarawickrama
SB Styris
SC Taylor
SC Williams
SD Hope
SF Mire
SIR Dunkley
SJ Taylor
SK Raina
SM Curran
SO Hetmyer
SPD Smith
SR Watson
SS Iyer
SSJ Brooks
ST Jayasuriya
Sabbir Rahman
Saim Ayub
Salman Butt
Sarfraz Ahmed
Shadab Khan
Shafali Verma
Shahid Afridi
Shakib Al Hasan
Shamsur Rahman
Shan Masood
Shoaib Malik
Shubman Gill
Sikandar Raza
Soumya Sarkar
T Bavuma
T Stubbs
TM Dilshan
TM Head
TM McGrath
TT Beaumont
TWM Latham
Tamim Iqbal
UT Khawaja
Umar Akmal
V Kohli
V Sehwag
V Sibanda
W Madhevere
WA Young
Washington Sundar
Younis Khan
Yuvraj Singh
